Search Term,Date,Title,Country,Description,URL
site:google.com #economicreconciliation,Unknown,Weaving Two Worlds: Economic Reconciliation Between Indigenous ...,ca," You'll gain practical skills and tips on how to build meaningful, mutually productive relationships with Indigenous Peoples, from initial consultation to ... ",https://books.google.com/books?id=NmXuzgEACAAJ&source=gbs_book_other_versions_r&cad=1
site:google.com #economicreconciliation,Unknown,Mistik Management Ltd: Clearing the Way for Economic ...,ca," Title, Mistik Management Ltd: Clearing the Way for Economic Reconciliation The CASE Journal. Authors, Brooke Klassen, Dana Carriere, Irma Murdock. ",https://books.google.com/books/about/Mistik_Management_Ltd.html?id=ldUr0AEACAAJ
site:google.com #economicreconciliation,Unknown,The Economic Reconciliation Process: Middle Eastern Populations ...,ca," The Economic Reconciliation Process develops hybrid cross-border models based on the free economic zone, the industrial district, and the cluster to ... ",https://play.google.com/store/books/details/The_Economic_Reconciliation_Process_Middle_Eastern?id=tXG7AwAAQBAJ&hl=en_GB
site:google.com #economicreconciliation,"May 29, 2023",National Chief RoseAnne Archibald to headline 4th annual ...,ca," May 29, 2023  ·  On June 1, National Chief Archibald will outline her vision for economic reconciliation, followed by a discussion with award-winning journalist ... ",https://news.google.com/rss/articles/CBMipAFodHRwczovL2NhbGdhcnloZXJhbGQuY29tL2dsb2JlLW5ld3N3aXJlL25hdGlvbmFsLWNoaWVmLXJvc2Vhbm5lLWFyY2hpYmFsZC10by1oZWFkbGluZS00dGgtYW5udWFsLWluZGlnZW5vdXMtcGFydG5lcnNoaXBzLXN1Y2Nlc3Mtc2hvd2Nhc2UtaW4tdmFuY291dmVyLWp1bmUtMS1hbmQtMtIBAA?oc=5
site:google.com #economicreconciliation,"Dec 2, 2022",Indsights: A Window into the Indigenous Economy' Case Studies ...,ca," Dec 2, 2022  ·  Each case study shows Canadian Indigenous businesses confronting economic barriers and emerging as innovative leaders. Previous research ... ",https://news.google.com/__i/rss/rd/articles/CBMihQFodHRwczovL2FuaXNoaW5hYmVrbmV3cy5jYS8yMDIyLzEyLzAyL2luZHNpZ2h0cy1hLXdpbmRvdy1pbnRvLXRoZS1pbmRpZ2Vub3VzLWVjb25vbXktY2FzZS1zdHVkaWVzLWZlYXR1cmluZy1pbmRpZ2Vub3VzLWVudHJlcHJlbmV1cnMv0gEA?oc=5
site:google.com #economicreconciliation,"Mar 16, 2021",Indigenomics: Taking a Seat at the Economic Table - Google Books,ca," Mar 16, 2021  ·  Indigenomics calls for a new model of development, one that advances Indigenous self-determination, collective well-being, and reconciliation. ",https://books.google.com/books/about/Indigenomics.html?id=WJGhDwAAQBAJ
site:google.com #economicreconciliation,"Feb 4, 2024",New AFN chief looks to turn page with Pierre Poilievre from Harper ...,ca," Feb 4, 2024  ·  Poilievre's idea of economic reconciliation may not be embraced by everyone, said Eva Jewell, research director at the Yellowhead Institute ... ",https://news.google.com/__i/rss/rd/articles/CBMicGh0dHBzOi8vd3d3LmNoZWtuZXdzLmNhL25ldy1hZm4tY2hpZWYtbG9va3MtdG8tdHVybi1wYWdlLXdpdGgtcGllcnJlLXBvaWxpZXZyZS1mcm9tLWhhcnBlci1lcmEtdGVuc2lvbnMtMTE4OTMyNy_SAQA
site:google.com #economicreconciliation,"Aug 11, 2018",The House: How irreparable are relations between Canada ... - CBC,ca," Aug 11, 2018  ·  A U.S. governor fears recent blows to the relationship between Canada and the U.S. could leave scars that will take a long time to heal. ",https://news.google.com/articles/CBMibmh0dHBzOi8vd3d3LmNiYy5jYS9yYWRpby90aGVob3VzZS90aGUtaG91c2UtaG93LWlycmVwYXJhYmxlLWFyZS1yZWxhdGlvbnMtYmV0d2Vlbi1jYW5hZGEtYW5kLXRoZS11LXMtMS40Nzc4OTEy0gFjaHR0cHM6Ly93d3ctY2JjLWNhLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3LmNiYy5jYS9hbXAvMS40Nzc4OTEyP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-ET&gl=ET&ceid=ET%3Aen
site:google.com #economicreconciliation,"Feb 8, 2024",Poilievre proposes plan for First Nations to collect taxes from industry,ca," Feb 8, 2024  ·  ... economic reconciliation — a term recently popularized to describe fostering economic relationships with First Nations, industry and government. ",https://news.google.com/__i/rss/rd/articles/CBMihgFodHRwczovL3d3dy5ib3dlbmlzbGFuZHVuZGVyY3VycmVudC5jb20vbmF0aW9uYWwtbmV3cy9wb2lsaWV2cmUtcHJvcG9zZXMtcGxhbi1mb3ItZmlyc3QtbmF0aW9ucy10by1jb2xsZWN0LXRheGVzLWZyb20taW5kdXN0cnktODI3ODEyNNIBAA
site:google.com #economicreconciliation,"Dec 22, 2022",Climate Smart Forestry: For The Environment And Future Of ...,ca," Dec 22, 2022  ·  ... economic reconciliation with Indigenous peoples, to build healthy and resilient forests for the long-term, and to achieve our net-zero ... ",https://news.google.com/__i/rss/rd/articles/CBMi_wFodHRwczovL3d3dy53b29kYnVzaW5lc3MuY2EvY2xpbWF0ZS1zbWFydC1mb3Jlc3RyeS1mb3ItdGhlLWVudmlyb25tZW50LWFuZC1mdXR1cmUtb2YtY2FuYWRhcy1ub3J0aGVybi1ydXJhbC1jb21tdW5pdGllcy8_dXRtX3NvdXJjZT1yc3MmdXRtX21lZGl1bT1yc3MmdXRtX2NhbXBhaWduPWNsaW1hdGUtc21hcnQtZm9yZXN0cnktZm9yLXRoZS1lbnZpcm9ubWVudC1hbmQtZnV0dXJlLW9mLWNhbmFkYXMtbm9ydGhlcm4tcnVyYWwtY29tbXVuaXRpZXPSAQA?oc=5
site:google.com #economicreconciliation,"Dec 9, 2022",Minister Wilkinson Releases Canada's $3.8-billion Critical Minerals ...,ca," Dec 9, 2022  ·  The Strategy maps out how Canada can seize this generational opportunity in a way that accomplishes five key outcomes: Supporting economic ... ",https://news.google.com/__i/rss/rd/articles/CBMivQFodHRwczovL3d3dy5uZXdzd2lyZS5jYS9uZXdzLXJlbGVhc2VzL21pbmlzdGVyLXdpbGtpbnNvbi1yZWxlYXNlcy1jYW5hZGEtcy0zLTgtYmlsbGlvbi1jcml0aWNhbC1taW5lcmFscy1zdHJhdGVneS10by1zZWl6ZS1nZW5lcmF0aW9uYWwtb3Bwb3J0dW5pdHktZm9yLWNsZWFuLWluY2x1c2l2ZS1ncm93dGgtODk2MTI3NjY5Lmh0bWzSAQA?oc=5
site:google.com #economicreconciliation,"Dec 14, 2021",Federal and British Columbia ministers and First Nations hold ...,ca," Dec 14, 2021  ·  ... economic reconciliation and the principles of the United Nations Declaration on the Rights of Indigenous Peoples. The Committee will ... ",https://news.google.com/articles/CBMipgFodHRwczovL3d3dy5uZXdzd2lyZS5jYS9uZXdzLXJlbGVhc2VzL2ZlZGVyYWwtYW5kLWJyaXRpc2gtY29sdW1iaWEtbWluaXN0ZXJzLWFuZC1maXJzdC1uYXRpb25zLWhvbGQtbWVldGluZy1vbi1kaXNhc3Rlci1yZWNvdmVyeS1hbmQtY2xpbWF0ZS1yZXNpbGllbmNlLTgzMTIxODcwNS5odG1s0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen
site:google.com #economicreconciliation,"Dec 13, 2022",InBC announces first investments into venture funds to,ca," Dec 13, 2022  ·  “InBC's investment in Raven is economic reconciliation in action and an implementation of Article 3 of the UN Declaration on the Rights of ... ",https://news.google.com/__i/rss/rd/articles/CBMiyQFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2UvMjAyMi8xMi8xMy8yNTcyOTc4LzAvZW4vSW5CQy1hbm5vdW5jZXMtZmlyc3QtaW52ZXN0bWVudHMtaW50by12ZW50dXJlLWZ1bmRzLXRvLXN1cHBvcnQtZW50cmVwcmVuZXVycy1kcml2aW5nLWNsaW1hdGUtYWN0aW9uLXJlY29uY2lsaWF0aW9uLWFuZC1pbm5vdmF0aW9uLmh0bWzSAQA?oc=5
site:google.com #economicreconciliation,"Jun 5, 2018",You now own a pipeline – here's what you need to know about it,ca," Jun 5, 2018  ·  Chief Ernie Crey said one way of gaining equity is through the federal government's reconciliation efforts. ... economic reconciliation with ... ",https://news.google.com/articles/CBMiVmh0dHBzOi8vYml2LmNvbS9hcnRpY2xlLzIwMTgvMDYveW91LW5vdy1vd24tcGlwZWxpbmUtaGVyZXMtd2hhdC15b3UtbmVlZC1rbm93LWFib3V0LWl00gEA
site:google.com #economicreconciliation,"Jun 18, 2020",Indigenous Peoples and International Trade - Google Books,ca," Jun 18, 2020  ·  This volume explores the emergence of Indigenous peoples' participation in international trade and investment, as well as how it is shaping ... ",https://books.google.com/books/about/Indigenous_Peoples_and_International_Tra.html?id=vUHqDwAAQBAJ
site:google.com #economicreconciliation,Unknown,Brooke Klassen - Google Scholar,ca," Mistik Management Ltd.: clearing the way for economic reconciliation B Klassen, D Carriere, I Murdock The CASE Journal 20 (3), 720-746, 2024 ",https://scholar.google.com/citations?user=_LXqS4oAAAAJ&hl=en
site:google.com #economicreconciliation,Unknown,Amy Fung - Google Scholar,ca," The Melancholy of Extraction: Settler Sentimentality in Canada's Ahistorical Era of Economic Reconciliation. A Fung. Global Sentimentality Volume 2, 65, 2023. ",https://scholar.google.com/citations?user=0RjGD4IAAAAJ&hl=en
site:google.com #economicreconciliation,Unknown,Affective Economies of Extraction and Sentimentality - Google Books,ca," Combining affect studies and environmental humanities, this volume analyzes societies' devotion to extraction and fossil resources. This devotion is shaped by a ... ",https://books.google.com/books/about/To_the_Last_Drop_Affective_Economies_of.html?id=ttDJEAAAQBAJ
site:google.com #economicreconciliation,"May 24, 2023",Globalizing leadership to address Canada's labour shortage |,ca," May 24, 2023  ·  The labour market today marks a rare point in history. For once, it is tilted in favour of skilled workers versus corporate Canada. ",https://news.google.com/rss/articles/CBMibGh0dHBzOi8vY2FuYWRpYW5pbW1pZ3JhbnQuY2EvY2FyZWVycy1hbmQtZWR1Y2F0aW9uL2dsb2JhbGl6aW5nLWxlYWRlcnNoaXAtdG8tYWRkcmVzcy1jYW5hZGFzLWxhYm91ci1zaG9ydGFnZdIBAA?oc=5
site:google.com #economicreconciliation,"Aug 30, 2021",Oil and gas industry releases its election wish list,ca," Aug 30, 2021  ·  “Many Indigenous communities see resource development as a pathway to economic reconciliation, opportunity and a means to end poverty in their ... ",https://news.google.com/__i/rss/rd/articles/CBMiZWh0dHBzOi8vd3d3Lm5hdGlvbmFsb2JzZXJ2ZXIuY29tLzIwMjEvMDgvMzAvYW5hbHlzaXMvb2lsLWFuZC1nYXMtaW5kdXN0cnktcmVsZWFzZXMtZWxlY3Rpb24td2lzaC1saXN00gEA?oc=5
site:google.com #economicreconciliation,"Sep 23, 2020",Does mining need good housekeeping seal of approval?,ca," Sep 23, 2020  ·  Part of that latter equation is economic reconciliation, and mining is currently the single largest employer of Indigenous people in Canada. So ... ",https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vYml2LmNvbS9hcnRpY2xlLzIwMjAvMDkvZG9lcy1taW5pbmctbmVlZC1nb29kLWhvdXNla2VlcGluZy1zZWFsLWFwcHJvdmFs0gFUaHR0cHM6Ly9iaXYuY29tL2FydGljbGUvMjAyMC8wOS9kb2VzLW1pbmluZy1uZWVkLWdvb2QtaG91c2VrZWVwaW5nLXNlYWwtYXBwcm92YWw_YW1w?oc=5
site:google.com #economicreconciliation,"Dec 10, 2021",CreeQuest Corp. is the recipient of the Indigenous Business Award ...,ca," Dec 10, 2021  ·  ""When given the opportunity to speak or make a positive impact on a person's life, to me, that's economic reconciliation; that's how I view it. ",https://news.google.com/__i/rss/rd/articles/CBMiiAFodHRwczovL3d3dy50aW1taW5zdG9kYXkuY29tL2xvY2FsLW5ld3Mvbm9iYS0yMDIxLWNyZWVxdWVzdC1jb3JwLWlzLXRoZS1yZWNpcGllbnQtb2YtdGhlLWluZGlnZW5vdXMtYnVzaW5lc3MtYXdhcmQtb2YtZXhjZWxsZW5jZS00Nzg3NDIx0gEA?oc=5
site:google.com #economicreconciliation,Unknown,"Indigenomics: Taking a Seat at the Economic Table, Carol Anne Hilton",ca," Indigenomics lays out the tenets of the emerging Indigenous economy, built around relationships, multigenerational stewardship of resources, and care for all. ",https://play.google.com/store/audiobooks/details/Indigenomics_Taking_a_Seat_at_the_Economic_Table?id=AQAAAEDcf04_gM&hl=az&gl=US
site:google.com #economicreconciliation,"Apr 22, 2022",Poilievre's housing plan: Flip or flop? - POLITICO,ca," Apr 22, 2022  ·  “The council should be centering economic reconciliation and equity — social and economic equity from a relational systems lens,” she told ... ",https://news.google.com/__i/rss/rd/articles/CBMibWh0dHBzOi8vd3d3LnBvbGl0aWNvLmNvbS9uZXdzbGV0dGVycy9vdHRhd2EtcGxheWJvb2svMjAyMi8wNC8yMi9wb2lsaWV2cmVzLWhvdXNpbmctcGxhbi1mbGlwLW9yLWZsb3AtMDAwMjcxMDbSAQA?oc=5
site:google.com #economicreconciliation,"Mar 14, 2023",$3.28-billion Indigenous-led LNG project gets B.C. environmental ...,ca," Mar 14, 2023  ·  ... economic reconciliation in the province. LNG Canada is also building a terminal nearby in Kitimat's port for the liquefaction, storage and ... ",https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LmNhc3RhbmV0Lm5ldC9uZXdzL0JDLzQxNjA3NS8zMjgtYmlsbGlvbi1JbmRpZ2Vub3VzLWxlZC1MTkctcHJvamVjdC1nZXRzLUJDLWVudmlyb25tZW50YWwtY2VydGlmaWNhdGXSAQA?oc=5
