name,username,is_verified,body,media-header,text,date,stats,timeline_item,url
,,,,,,,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht13 Apr 2022Come learn about the Indigenous economy at the#Indigenomics2022 Design Forumindigenomicsinstitute.com#100billion#TRC92#UNDRIP💯#canecon#cdnbiz#canpoli514","Carol Anne Hilton, MBA@Hesquiaht13 Apr 2022",Come learn about the Indigenous economy at the#Indigenomics2022 Design Forumindigenomicsinstitute.com#100billion#TRC92#UNDRIP💯#canecon#cdnbiz#canpoli,13 Apr 2022,514,,
Collective Karmic Debt,@CAKarmicDebt,,"Collective Karmic Debt@CAKarmicDebt13 Apr 2022#IndigenomicsBlake Desjarlais@DesjarlaisBlake13 Apr 2022Replying to@DesjarlaisBlakeTrade Winds to Success is an irreplaceable and valuable organization builds the foundation for Indigenous people in Alberta to secure employment and achieve journeyman status, leading to economic well-being.",Collective Karmic Debt@CAKarmicDebt13 Apr 2022,#Indigenomics,13 Apr 2022,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht12 Apr 2022Who wants to play#indigenomics? Come and learn about the Indigenous economy,#100billion#impact#invest#design#economicreconciliationat the Indigenomics Design Forumindigenomicsinstitute.comBring your leadership!712","Carol Anne Hilton, MBA@Hesquiaht12 Apr 2022","Who wants to play#indigenomics? Come and learn about the Indigenous economy,#100billion#impact#invest#design#economicreconciliationat the Indigenomics Design Forumindigenomicsinstitute.comBring your leadership!",12 Apr 2022,712,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht12 Apr 2022Share for  a chance to win a free ticket to the Indigenomics 2022 Dedign Forum. add a quote about indigenomics and the growth of Indigenous business using hashtag#indigenomicsto have your name entered to win! Registration atindigenomicsinstitute.com2","Carol Anne Hilton, MBA@Hesquiaht12 Apr 2022",Share for  a chance to win a free ticket to the Indigenomics 2022 Dedign Forum. add a quote about indigenomics and the growth of Indigenous business using hashtag#indigenomicsto have your name entered to win! Registration atindigenomicsinstitute.com,12 Apr 2022,2,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht12 Apr 2022You are invited! Join us at the Activating the Financial Architecture of the 100 Billion Dollar Indigenous Economy Forum!Www.indigenomicsinstitute.co…#indigenomics#100billlion#canecon#cdnbiz#indigenousbusiness","Carol Anne Hilton, MBA@Hesquiaht12 Apr 2022",You are invited! Join us at the Activating the Financial Architecture of the 100 Billion Dollar Indigenous Economy Forum!Www.indigenomicsinstitute.co…#indigenomics#100billlion#canecon#cdnbiz#indigenousbusiness,12 Apr 2022,,,
First Nations Bank of Canada,@FNBC_bank,,First Nations Bank of Canada@FNBC_bank12 Apr 2022First Nations Bank of Canada and Ermineskin Cree Nation proudly announce Neyaskweyahk Group of Companies is now the largest shareholder of The Bank.ow.ly/a5Uf50IHXlc#IndigenousBank#IndigenousBusiness#Indigenomics#firstnations#metis#inuit#banking#investment34,First Nations Bank of Canada@FNBC_bank12 Apr 2022,First Nations Bank of Canada and Ermineskin Cree Nation proudly announce Neyaskweyahk Group of Companies is now the largest shareholder of The Bank.ow.ly/a5Uf50IHXlc#IndigenousBank#IndigenousBusiness#Indigenomics#firstnations#metis#inuit#banking#investment,12 Apr 2022,34,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson12 Apr 2022The East-West Tie Transmission Line is complete between Wawa and Thunder Bay - project helped build Bamkushwada and Supercom economic partnerships among First Nation communities along the line. 60% of construction workforce was Indigenoustbnewswatch.com/local-news/a…#Indigenomics11,Don Richardson@Don_Richardson12 Apr 2022,The East-West Tie Transmission Line is complete between Wawa and Thunder Bay - project helped build Bamkushwada and Supercom economic partnerships among First Nation communities along the line. 60% of construction workforce was Indigenoustbnewswatch.com/local-news/a…#Indigenomics,12 Apr 2022,11,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson11 Apr 2022Lithium refinery a good fit in#ThunderBay- Avalon CEO says becoming active business participants could be lucrative for the First Nation economy in northwestern Ontario especially with lithium battery material supply chains#Indigenomicswellandtribune.ca/ts/news/ca…,Don Richardson@Don_Richardson11 Apr 2022,Lithium refinery a good fit in#ThunderBay- Avalon CEO says becoming active business participants could be lucrative for the First Nation economy in northwestern Ontario especially with lithium battery material supply chains#Indigenomicswellandtribune.ca/ts/news/ca…,11 Apr 2022,,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson9 Apr 2022Carry the Kettle Nakoda Nation (CTK) and the City of Regina are working together to build a new#urbanreservefrom the ground upleaderpost.com/news/local-ne…via@leaderpost#Indigenomics1,Don Richardson@Don_Richardson9 Apr 2022,Carry the Kettle Nakoda Nation (CTK) and the City of Regina are working together to build a new#urbanreservefrom the ground upleaderpost.com/news/local-ne…via@leaderpost#Indigenomics,9 Apr 2022,1,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht8 Apr 2022Check out Indigeno Travel-  Canada’s first national, Indigenous-owned, full service travel agency headquartered in Treaty 1 territory, Winnipeg, Manitoba.@indigenotravel#canecon#cdnbiz#indigenomics#indigenouseconomy#100billion15","Carol Anne Hilton, MBA@Hesquiaht8 Apr 2022","Check out Indigeno Travel-  Canada’s first national, Indigenous-owned, full service travel agency headquartered in Treaty 1 territory, Winnipeg, Manitoba.@indigenotravel#canecon#cdnbiz#indigenomics#indigenouseconomy#100billion",8 Apr 2022,15,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht8 Apr 2022The Indigenomics Institute is pleased to support@indigenotravelfor the upcoming#indigenomicsDesign forum.#100billion#indigenouseconomy#indigenousbusinessPlease share!14","Carol Anne Hilton, MBA@Hesquiaht8 Apr 2022",The Indigenomics Institute is pleased to support@indigenotravelfor the upcoming#indigenomicsDesign forum.#100billion#indigenouseconomy#indigenousbusinessPlease share!,8 Apr 2022,14,,
SFU Public Square,@SFUPublicSquare,,"SFU Public Square@SFUPublicSquare7 Apr 2022""Future Economy” ft'd Julia Aoki (@MegaphoneMag), @DowntownCharles,@Hesquiaht(#IndigenomicsInstitute),@naiaehlee(@sustainteens), Johanna Li (@EMBERSorg), Michael Tan,@Ayan604and Chief Ian Campbell of the Squamish Nation.

Watch:sfu.ca/publicsquare/events/2…124",SFU Public Square@SFUPublicSquare7 Apr 2022,"""Future Economy” ft'd Julia Aoki (@MegaphoneMag), @DowntownCharles,@Hesquiaht(#IndigenomicsInstitute),@naiaehlee(@sustainteens), Johanna Li (@EMBERSorg), Michael Tan,@Ayan604and Chief Ian Campbell of the Squamish Nation.

Watch:sfu.ca/publicsquare/events/2…",7 Apr 2022,124,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson7 Apr 2022Meadow Lake Tribal Council launches environmental consulting partnership - The MLTC is partnering with Trace, a firm that specializes in environmental science and engineering advisory across Canadacjwwradio.com/2022/04/06/142…#Indigenomics22",Don Richardson@Don_Richardson7 Apr 2022,"Meadow Lake Tribal Council launches environmental consulting partnership - The MLTC is partnering with Trace, a firm that specializes in environmental science and engineering advisory across Canadacjwwradio.com/2022/04/06/142…#Indigenomics",7 Apr 2022,22,,
