name,username,is_verified,body,media-header,text,date,stats,timeline_item,url
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht30 Jan 2023#indigenomics#indigenouseconomy#100billionThis tweet is unavailable16","Carol Anne Hilton, MBA@Hesquiaht30 Jan 2023",#indigenomics#indigenouseconomy#100billion,30 Jan 2023,16,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson30 Jan 2023The Lower Mainland of BC is in the midst of an Indigenous real estate renaissance, says Dennis Thomas Whonoak, senior business development manager with the Tsleil-Waututh Nationbiv.com/article/2023/01/indi…#Indigenomics13",Don Richardson@Don_Richardson30 Jan 2023,"The Lower Mainland of BC is in the midst of an Indigenous real estate renaissance, says Dennis Thomas Whonoak, senior business development manager with the Tsleil-Waututh Nationbiv.com/article/2023/01/indi…#Indigenomics",30 Jan 2023,13,,
Indigenous Innovation Initiative,@Indiginnovate,,Indigenous Innovation Initiative@Indiginnovate26 Jan 2023Upcoming 2023#Indigenomicsevents! Stay tuned! Follow@indigenomicson Instagram or check out the Indigenomics website atindigenomicsinstitute.com/.#Indigenous#innovation1,Indigenous Innovation Initiative@Indiginnovate26 Jan 2023,Upcoming 2023#Indigenomicsevents! Stay tuned! Follow@indigenomicson Instagram or check out the Indigenomics website atindigenomicsinstitute.com/.#Indigenous#innovation,26 Jan 2023,1,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson26 Jan 2023Blueberry River First Nations and BC provincial government have signed what’s being called a historic agreement towards jointly managing land, 
water and resource development / via@TwoRowTimestworowtimes.com/news/nationa…#Indigenomics1",Don Richardson@Don_Richardson26 Jan 2023,"Blueberry River First Nations and BC provincial government have signed what’s being called a historic agreement towards jointly managing land, 
water and resource development / via@TwoRowTimestworowtimes.com/news/nationa…#Indigenomics",26 Jan 2023,1,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson25 Jan 2023Axxcelus Closes 1600 Hectare Land Acquisition for Whitefish Lake First Nation #128: land and grazing leases will support Nation’s growth for years to come: expansion of cattle operations, economic and employment opportunities food security#Indigenomicsfinancialpost.com/globe-news…",Don Richardson@Don_Richardson25 Jan 2023,"Axxcelus Closes 1600 Hectare Land Acquisition for Whitefish Lake First Nation #128: land and grazing leases will support Nation’s growth for years to come: expansion of cattle operations, economic and employment opportunities food security#Indigenomicsfinancialpost.com/globe-news…",25 Jan 2023,,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson24 Jan 2023Indigenous-owned investment firm launches in Saskatoon - Wiyotisiwin Investment Management Company will focus on helping First Nations use funds held in trusts to finance community developmentthestarphoenix.com/news/sask…#Indigenomics,Don Richardson@Don_Richardson24 Jan 2023,Indigenous-owned investment firm launches in Saskatoon - Wiyotisiwin Investment Management Company will focus on helping First Nations use funds held in trusts to finance community developmentthestarphoenix.com/news/sask…#Indigenomics,24 Jan 2023,,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson24 Jan 2023B.C. Premier David Eby at#Roundup2023conference urges prospectors and exploration companies to work with First Nations to gain their consent when doing exploration and prospecting in their traditional territories#Indigenomics#FPICbiv.com/article/2023/01/bc-h…21,Don Richardson@Don_Richardson24 Jan 2023,B.C. Premier David Eby at#Roundup2023conference urges prospectors and exploration companies to work with First Nations to gain their consent when doing exploration and prospecting in their traditional territories#Indigenomics#FPICbiv.com/article/2023/01/bc-h…,24 Jan 2023,21,,
Coast Funds,@coastfunds,,"Coast Funds@coastfunds23 Jan 2023“I think people are really recognizing the importance of Indigenous and inclusive ownership overall.”

A new report shows that gross domestic product created by Indigenous-owned businesses has increased significantly over the past decade.ow.ly/iujL50Mxex8#Indigenomics1",Coast Funds@coastfunds23 Jan 2023,"“I think people are really recognizing the importance of Indigenous and inclusive ownership overall.”

A new report shows that gross domestic product created by Indigenous-owned businesses has increased significantly over the past decade.ow.ly/iujL50Mxex8#Indigenomics",23 Jan 2023,1,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht23 Jan 2023B.C. announces cumulative impact agreements with Treaty 8 First Nations  ~#indigenomicsin action#indigenouseconomy#bcecon#Caneconvancouverisawesome.com/bc-ne…via@viawesome19","Carol Anne Hilton, MBA@Hesquiaht23 Jan 2023",B.C. announces cumulative impact agreements with Treaty 8 First Nations  ~#indigenomicsin action#indigenouseconomy#bcecon#Caneconvancouverisawesome.com/bc-ne…via@viawesome,23 Jan 2023,19,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson21 Jan 2023BC announces cumulative impact agreements with Treaty 8 First Nations - Agreements provide hundreds of millions of dollars for land restoration and resource revenue sharing, framework for land use management, conservation, wildlife planningalaskahighwaynews.ca/fort-st…#Indigenomics12",Don Richardson@Don_Richardson21 Jan 2023,"BC announces cumulative impact agreements with Treaty 8 First Nations - Agreements provide hundreds of millions of dollars for land restoration and resource revenue sharing, framework for land use management, conservation, wildlife planningalaskahighwaynews.ca/fort-st…#Indigenomics",21 Jan 2023,12,,
