name,username,is_verified,body,media-header,text,date,stats,timeline_item,url
,,,,,,,,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson3 Apr 2024BC coastal First Nations form investment consortium: 20 Coastal First Nations on Vancouver Island and the Sunshine and central coast form a new investment coalition, Iskum Investments, to increase involvement in various business enterprises#Indigenomicsbiv.com/news/economy-law-pol…",Don Richardson@Don_Richardson3 Apr 2024,"BC coastal First Nations form investment consortium: 20 Coastal First Nations on Vancouver Island and the Sunshine and central coast form a new investment coalition, Iskum Investments, to increase involvement in various business enterprises#Indigenomicsbiv.com/news/economy-law-pol…",3 Apr 2024,,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson3 Apr 2024Can reconciliation and profitability coexist? Clearwater Seafood thinks so - Clearwater Seafood is charting a new path as an Indigenous-owned company. Can seven-generation thinking and profitability coexist? /@robmagca@globebusiness#Indigenomicstheglobeandmail.com/business…11,Don Richardson@Don_Richardson3 Apr 2024,Can reconciliation and profitability coexist? Clearwater Seafood thinks so - Clearwater Seafood is charting a new path as an Indigenous-owned company. Can seven-generation thinking and profitability coexist? /@robmagca@globebusiness#Indigenomicstheglobeandmail.com/business…,3 Apr 2024,11,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht28 Mar 2024The Indigenomics Accessibility package is a beneficial way to share your commitment to inclusivity and economic reconciliation. Also available as an addition to any sponsorship package.

Learn more at:indigenomics.swoogo.com/desi…#Indigenomics#EconomicReconciliation#Saskatoon1","Carol Anne Hilton, MBA@Hesquiaht28 Mar 2024","The Indigenomics Accessibility package is a beneficial way to share your commitment to inclusivity and economic reconciliation. Also available as an addition to any sponsorship package.

Learn more at:indigenomics.swoogo.com/desi…#Indigenomics#EconomicReconciliation#Saskatoon",28 Mar 2024,1,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson28 Mar 2024Indigenous consulting companies place community at the centre of their work -@globeandmail.#Indigenomicstheglobeandmail.com/business…,Don Richardson@Don_Richardson28 Mar 2024,Indigenous consulting companies place community at the centre of their work -@globeandmail.#Indigenomicstheglobeandmail.com/business…,28 Mar 2024,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht27 Mar 2024LAST WEEK FOR EARLY BIRD REGISTRATION! ONLY 5 DAYS LEFT!

Secure your spot here:lnkd.in/gqZH6fG5🗓️ June 4th, 2024, from 8am to 4:30pm
📍 Venue: Dakota Dunes Resort#Indigenomics#Saskatoon#IndigenousWealth#TransformativeDialogue#Economicreconciliation22","Carol Anne Hilton, MBA@Hesquiaht27 Mar 2024","LAST WEEK FOR EARLY BIRD REGISTRATION! ONLY 5 DAYS LEFT!

Secure your spot here:lnkd.in/gqZH6fG5🗓️ June 4th, 2024, from 8am to 4:30pm
📍 Venue: Dakota Dunes Resort#Indigenomics#Saskatoon#IndigenousWealth#TransformativeDialogue#Economicreconciliation",27 Mar 2024,22,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht26 Mar 2024The countdown to the inaugural Indigenomics NOW Forum is on! 

Indigenomics NOW is building a critical perspective from the question- How can we build economies with Life at the Centre?

Registration opens soon!
Learn more here:globalcentreofindigenomics.c…#Indigenomics#GCOI12","Carol Anne Hilton, MBA@Hesquiaht26 Mar 2024","The countdown to the inaugural Indigenomics NOW Forum is on! 

Indigenomics NOW is building a critical perspective from the question- How can we build economies with Life at the Centre?

Registration opens soon!
Learn more here:globalcentreofindigenomics.c…#Indigenomics#GCOI",26 Mar 2024,12,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht25 Mar 2024The Indigenomics Institute is delighted to welcome@Vancityand@TELUSPlatinum Multi-Year Events Partners for Indigenomics DESIGN-Indigenous Wealth Dynamics!

Early bird registration ends on April 1st! Register now and secure your spot!indigenomics.swoogo.com/DESI…#Indigenomics1","Carol Anne Hilton, MBA@Hesquiaht25 Mar 2024","The Indigenomics Institute is delighted to welcome@Vancityand@TELUSPlatinum Multi-Year Events Partners for Indigenomics DESIGN-Indigenous Wealth Dynamics!

Early bird registration ends on April 1st! Register now and secure your spot!indigenomics.swoogo.com/DESI…#Indigenomics",25 Mar 2024,1,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht22 Mar 2024The Global Centre of Indigenomics  is seeking Indigenous speakers from around the world for the inaugural Indigenomics NOW Forum – 24 hours online forum on November 14th, 2024. 

Please complete this form to be considered :lnkd.in/gbZYwiFD#Indigenomics#Indigenous43","Carol Anne Hilton, MBA@Hesquiaht22 Mar 2024","The Global Centre of Indigenomics  is seeking Indigenous speakers from around the world for the inaugural Indigenomics NOW Forum – 24 hours online forum on November 14th, 2024. 

Please complete this form to be considered :lnkd.in/gbZYwiFD#Indigenomics#Indigenous",22 Mar 2024,43,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht20 Mar 2024Call for Vendors!
 
Vendor registration is open for the Indigenomics Market in Saskatoon at the upcoming Indigenomics DESIGN- Indigenous Wealth Dynamics Conference.
 
Date: June 4th
Venue: Dakota Dunes Resort

Register here:indigenomics.swoogo.com/desi…#Indigenomics#Saskatoon2","Carol Anne Hilton, MBA@Hesquiaht20 Mar 2024","Call for Vendors!
 
Vendor registration is open for the Indigenomics Market in Saskatoon at the upcoming Indigenomics DESIGN- Indigenous Wealth Dynamics Conference.
 
Date: June 4th
Venue: Dakota Dunes Resort

Register here:indigenomics.swoogo.com/desi…#Indigenomics#Saskatoon",20 Mar 2024,2,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson18 Mar 2024West Fraser partners with Woodland Cree First Nation - sign a Good Relations Agreement to mark a new era of partnership, mutual respect, and exploration of economic opportunitieswoodbusiness.ca/?p=101525#Indigenomics1",Don Richardson@Don_Richardson18 Mar 2024,"West Fraser partners with Woodland Cree First Nation - sign a Good Relations Agreement to mark a new era of partnership, mutual respect, and exploration of economic opportunitieswoodbusiness.ca/?p=101525#Indigenomics",18 Mar 2024,1,,
