Search Term,Date,Title,Country,Description,URL
site:twitter.com/ResourceRulers,Unknown,Bill Gallagher (@ResourceRulers) / X,ca, Canada is Among the Most Resource-Rich Countries on Earth. We Should Start Acting Like It. https://canadaaction.ca/canada-most-resource-rich-nations-globally- ... ,https://twitter.com/resourcerulers
site:twitter.com/ResourceRulers,"Feb 25, 2025","Bill Gallagher on X: "".@Mainstreammedia KXL dead on arrival Let's ...",ca," Feb 25, 2025  ·  KXL dead on arrival Let's not forget this train-wreck of a project died on the hearing room floor of the Nebraska Public Service Commmission ... ",https://twitter.com/ResourceRulers/status/1894473697714401634
site:twitter.com/ResourceRulers,"Mar 3, 2025","Bill Gallagher on X: "".@the_PDAC @northernminer measured in ...",ca," Mar 3, 2025  ·  measured in decades! RR, long time commentator on RoF, vindicated by these timelines - measured in decades - who knew? ",https://twitter.com/ResourceRulers/status/1896649460727595083
site:twitter.com/ResourceRulers,"Feb 25, 2025","Bill Gallagher on X: "".@the_PDAC @northernminer #RingofFools ...",ca," Feb 25, 2025  ·  #RingofFools RR long time observer sees press releases from a decade ago being dusted off - on both sides - fact: it's taken a decade to ... ",https://twitter.com/ResourceRulers/status/1894510500232220903
site:twitter.com/ResourceRulers,Unknown,"Bill Gallagher on X: "".@northernminer bad news out of BC as ...",ca, An important statement from the BC First Nations Leadership Council regarding the recent debate surrounding the Land Act. #bcpoli https://ubcic.bc.ca/ ... ,https://twitter.com/ResourceRulers/status/1760764297771139134
site:twitter.com/ResourceRulers,"Feb 17, 2025","Bill Gallagher on X: "".@Mainstreammedia #Haida #Gwaii legal win ...",ca," Feb 17, 2025  ·  Mainstreammedia #Haida #Gwaii legal win #372 https://t.co/RCZ1zzqE9y RR says huge win for #UNDRIP the law of BC + Canada which will colour ... ",https://twitter.com/ResourceRulers/status/1891598902266102243
site:twitter.com/ResourceRulers,"Mar 8, 2025","Bill Gallagher on X: "".@Mainstrerammedia Boneheads in BC ...",ca," Mar 8, 2025  ·  Mainstrerammedia Boneheads in BC Brodie's expulsion comes at 375 native legal wins on the road to resources ... RR says just more roadkill. ",https://twitter.com/ResourceRulers/status/1898389595110142322
site:twitter.com/ResourceRulers,"Feb 15, 2025","Bill Gallagher on X: "".@Mainstreammedia flag waving over ...",ca," Feb 15, 2025  ·  Mainstreammedia flag waving over resources this missive comes at #371 native legal wins on Canada's road to resources - have U noticed only ... ",https://twitter.com/ResourceRulers/status/1890743191910953376
site:twitter.com/ResourceRulers,"Dec 3, 2024","Bill Gallagher on X: "".@MainstreamMedia google 'Matterhorn' and ...",ca," Dec 3, 2024  ·  Trump sends a new message to Trudeau after telling him that Canada maybe should become the 51st state of the U.S. if it can't handle Trump's ... ",https://twitter.com/ResourceRulers/status/1864135599461904458
site:twitter.com/ResourceRulers,"Feb 6, 2025","Bill Gallagher on X: "".@Mainstreammedia - focus Canada - X",ca," Feb 6, 2025  ·  Mainstreammedia - Steve Bannon as arctic strategist Global News nails important interview on what's coming down the pike for Canada - RR ... ",https://twitter.com/ResourceRulers/status/1887621336689950786
